crew,id
 John Lasseter,862
 Joe Johnston,8844
 Howard Deutch,15602
 Forest Whitaker,31357
 Charles Shyer,11862
 Michael Mann,949
 Sydney Pollack,11860
 Peter Hewitt,45325
 Peter Hyams,9091
 Martin Campbell,710
 Rob Reiner,9087
 Mel Brooks,12110
 Simon Wells,21032
 Oliver Stone,10858
 Renny Harlin,1408
 Martin Scorsese,524
 Ang Lee,4584
 Allison Anders,5
 Steve Oedekerk,9273
 Joseph Ruben,11517
 Barry Sonnenfeld,8012
 Jon Amiel,1710
 Richard Donner,9691
 Victor Salva,12665
 Mike Figgis,451
 Oliver Parker,16420
 Lesli Linka Glatter,9263
 Roger Michell,17015
 Marc Caro,902
 Zhang Yimou,37557
N/A,9909
 Terry Gilliam,63
N/A,78802
 Chris Noonan,9598
 Christopher Hampton,47018
 Tim Robbins,687
 Stephen Low,139405
 Andy Tennant,33689
 Amy Heckerling,9603
 Darrell James Roodt,34615
 Richard Loncraine,31174
 Albert Hughes,11443
 Michael Hoffman,35196
N/A,9312
 Gus Van Sant,577
 Jocelyn Moorhouse,11861
 David Fincher,807
 Mike Gabriel,10530
 Patricia Rozema,8391
 Bryan Singer,629
N/A,117164
 Woody Allen,11448
 Gianni Amelio,49133
 Holly Goldberg Sloan,26441
 Ulu Grosbard,97406
 Robert Tinnell,124057
 Jodie Foster,9089
 Michael Radford,11010
 Robert Lepage,99040
 Frank Oz,11359
 John Schlesinger,17182
 Stephen Herek,2054
 Paris Barclay,10607
 Bill Bennett,19760
 Jason Bloom,9536
 Farhad Mann,11525
 James Foley,40628
 Josiane Balasko,4482
N/A,10634
 Robert Rodriguez,755
 Andrew Sipes,11859
 Noah Baumbach,28387
 Claude Lelouch,48750
 Michael Goldenberg,20927
 Steve Miner,36929
 Christian Duguay,9102
 Susanne Ofteringer,124626
 Sean Penn,27526
 Brian Gibson,9623
 Jafar Panahi,46785
 Gary Fleder,400
 Marleen Gorris,880
 Tim Reid,146599
 Henry Jaglom,188588
 Philip Haas,8447
 Ridley Scott,10534
 Ken Kwapis,17414
 Penelope Spheeris,13997
 John Badham,2086
 John Duigan,61548
 Stephen Frears,9095
 Wes Craven,12158
 Ted Demme,9283
 John Woo,9208
 Kenneth Branagh,40154
 Mathieu Kassovitz,406
N/A,45549
 Nick Broomfield,63076
 Harold Becker,11062
 Wes Anderson,13685
 Nick Castle,47475
 John Dahl,2045
 Dennis Dugan,9614
 Clint Eastwood,688
N/A,11907
 Brian Henson,10874
 Robert Leacock,89333
 James Bruce,96357
 Mel Gibson,197
 Martin Scorsese,103
 Stanley Tong,33542
 Barbet Schroeder,43566
 Mort Ransen,71754
N/A,43612
 Jon Blair,51352
 Benjamin Ross,16934
 Eric Schaeffer,10324
 Andrew Davis,78406
N/A,55731
N/A,32119
 Reginald Hudlin,11066
N/A,11104
 Giuseppe Tornatore,37975
N/A,2074
 Peter MacDonald,27793
 Moufida Tlatli,44284
 Michel Negroponte,290157
 Bryan Gordon,110972
 Rebecca Miller,32622
N/A,73067
 William Friedkin,11863
N/A,55475
 Craig Baldwin,124636
N/A,9101
 Mark Rappaport,123360
 Dirk Shafer,5757
 Terence Davies,39428
 Sandip Ray,124639
 Jon Avnet,9302
 Mike Nichols,11000
 Jakov Sedlar,249882
 Edward Burns,16388
 Michael Bay,9737
 Christopher Cain,30765
 Scott Kalvert,10474
 Mike Newell,22279
 Hal Hartley,30157
 Ron Howard,568
N/A,11780
 Abel Ferrara,34996
 Joel Schumacher,414
N/A,649
 John Boorman,1873
 Paul Auster,5894
 Michael Moore,1775
 Brad Silberling,8839
 Spike Lee,20649
 Frank Marshall,10329
 Tony Scott,8963
 Terry Zwigoff,26564
 Robert Rodriguez,8068
 Carl Franklin,8512
 John McTiernan,1572
 Gregg Araki,13552
 Christopher Menaul,259209
 Jerry Zucker,6520
N/A,9073
 Iain Softley,10428
 Christopher Ashley,17447
 Robert Longo,9886
 Danny Cannon,9482
 John Fortenberry,19326
 Larry Clark,9344
 Tom DiCillo,9071
 Clive Barker,8973
 Denys Arcand,15730
 Antonia Bird,47608
 Kevin Smith,2293
 Bryan Spicer,9070
 David Anspaugh,68274
 Anthony Waller,48787
 Michael Almereyda,34574
 Irwin Winkler,1642
 Chris Columbus,11472
 Daisy von Scherler Mayer,36196
 Gregory Widen,11980
N/A,58372
 Todd Haynes,32646
N/A,10533
N/A,56088
 Paul Verhoeven,10802
 Wayne Wang,10149
N/A,18402
 Roger Donaldson,9348
 James Keach,139408
 Kathryn Bigelow,281
 Jacques Demy,5967
 Wesley Strick,79593
 Martha Coolidge,47939
 Agnieszka Holland,36834
 Beeban Kidron,9090
 Geoff Murphy,3512
 Diane Keaton,52856
 Douglas Keeve,77350
N/A,9560
 Kevin Reynolds,9804
 Desmond Nakano,31611
 Walter Hill,65796
 Mike Figgis,49805
 Greg Beeman,26258
 Nikita Mikhalkov,50797
N/A,19155
 Richard Linklater,76
 Tamra Davis,11017
 Guy Ferland,37141
 Herbert Ross,9382
 Peter Horton,6715
 Stuart Gordon,18256
N/A,22625
 Kevin Smith,2292
 Jeremy Leven,1909
 Barry Levinson,8984
N/A,61813
 John Badham,4954
 Jack Baran,62488
 Roman Polanski,10531
 Taylor Hackford,11929
 Peter Farrelly,8467
 Ang Lee,10451
 Atom Egoyan,20156
 Garry Marshall,18395
 Tim Burton,522
 Lawrence Kasdan,397
 Billy Crystal,10525
 Phillip Borsos,27985
 Kevin Lima,15789
 Brett Leonard,27303
 Carlo Carlei,21183
N/A,10954
 Mark Lewis,47867
 Art Clokey,43475
 Charles Burnett,72031
 Steve James,14275
 Peter Jackson,1024
 Randall Miller,17207
 Bernard Rose,13701
 Steven Brill,14819
N/A,32631
 Fred Schepisi,11777
 Neil Jordan,628
 James Ivory,87729
 James Melkonian,18713
 Ivan Reitman,6280
 Arne Glimcher,9061
 Michael Gottlieb,37108
 Barbet Schroeder,6071
 George Lucas,11
 Gillian Armstrong,9587
N/A,19101
 Ken Loach,49980
 Claude Chabrol,17961
N/A,18183
 Edward Zwick,4476
 Nick Castle,11008
 James Gray,47504
 Allison Anders,32325
 Glenn Gordon Caron,43742
 Stephen Gyllenhaal,28313
 Nicholas Hytner,11318
 Kenneth Branagh,3036
 James Orr,40490
 Nora Ephron,24070
 Richard Benjamin,8986
 Les Mayfield,10510
 David Frankel,17402
 Gregory Nava,38722
 Marc Rocco,8438
 Robert Benton,11593
 Michael Apted,1945
 Nick Gomez,39310
N/A,109560
 Vadim Jean,56428
 Albert Pyun,63105
 Alan Jacobs,131957
 Oliver Stone,241
 Norman Jewison,9058
 Lee Tamahori,527
 Anne Goursaud,18220
 Wolfgang Petersen,6950
 Luc Besson,101
 Mira Nair,63020
 Joshua Brand,2307
 Quentin Tarantino,680
 Mario Van Peebles,41478
 Ang Lee,25296
 Antonia Bird,40156
 Robert Redford,11450
 Kayo Hatta,30304
N/A,10452
 Sam Raimi,12106
 Peter Yates,161495
 Robert Altman,3586
N/A,110
N/A,108
N/A,109
 He Ping,159185
 Fred Gerber,36357
 George Mihalka,92769
 Harold Ramis,28033
 Richard Rich,22586
 John Sayles,14334
 Luis Llosa,2636
 Roland Emmerich,2164
 John Pasquin,11395
 Frank Darabont,278
 Danny Boyle,9905
 Scott McGehee,87078
N/A,12527
 George Huang,20306
 Kevin Dowling,36614
 Kelly Makin,27993
 Zhang Yimou,31439
 Rachel Talalay,9067
N/A,9059
 David Carson,193
 Rusty Cundieff,25066
 Brian Gilbert,46797
 John Carpenter,12122
 Peter Segal,11381
 Louis Malle,32636
 Steven Soderbergh,36141
N/A,95963
N/A,1587
 Brett Leonard,9271
 Jon Turteltaub,2064
 Jon Avnet,19855
 Mina Shum,60855
N/A,236
 Melanie Mayron,48287
 Tom Shadyac,3049
 Stephan Elliott,2759
 Iain Softley,12635
 Roman Polanski,10497
 Woody Allen,11382
 Phillip Noyce,9331
 Joel Schumacher,10731
 Jessie Nelson,10464
 Spike Lee,34152
 Alex Proyas,9495
 Ron Shelton,29973
 Brian Levant,888
 Robert Zemeckis,13
 Mike Newell,712
 John Singleton,16295
 Darnell Martin,48992
 Charles Shyer,10879
 Andrew Bergman,10660
 Stephen Sommers,10714
N/A,41647
 Roger Allers,8587
 Bernardo Bertolucci,1689
 Wes Craven,11596
 Chuck Russell,854
 Richard Donner,9359
 Alan Rudolph,23333
 Peter Segal,36593
 Ron Howard,12280
 Ben Stiller,2788
 John Dahl,10427
 Donald Petrie,11011
 Robert Allan Ackerman,49803
 Curtis Hanson,8987
 Jan de Bont,1637
 Ron Underwood,15128
 Peter Hyams,8831
 James Cameron,36955
 Luis Mandoki,10449
 Mike Nichols,10395
 Lawrence Kasdan,12160
 Damian Harris,40480
 Suri Krishnamma,52038
 Jefery Levy,29444
 Keenen Ivory Wayans,26352
 Robert Lee King,39953
 Yves Angelo,41580
 Russ Meyer,315
 Doug McHenry,22067
 Dave Borthwick,18242
N/A,11667
 Wallace Wolodarsky,32502
N/A,267188
 Paul Warner,28732
 Vincent Robert,75555
 Theodore Thomas,42981
 Lucas Platt,278939
 Ross Kagan Marks,291731
 Paul Williams,226229
 Robert Wuhl,203119
 Roberto Sneider,172923
