genres,id,original_title,poster_path
 Animation Comedy Family,862,Toy Story,/rhIRbceoE9lR4veEXuwCC2wARtG.jpg
 Adventure Fantasy Family,8844,Jumanji,/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg
 Romance Comedy,15602,Grumpier Old Men,/6ksm1sjKMFLbO7UY2i6G1ju9SML.jpg
 Comedy Drama Romance,31357,Waiting to Exhale,/16XOMpEaLWkrcPqSQqhTmeJuqQl.jpg
 Comedy,11862,Father of the Bride Part II,/e64sOI48hQXyru7naBFyssKFxVd.jpg
 Action Crime Drama Thriller,949,Heat,/zMyfPUelumio3tiDKPffaUpsQTD.jpg
 Comedy Romance,11860,Sabrina,/jQh15y5YB7bWz1NtffNZmRw0s9D.jpg
 Action Adventure Drama Family,45325,Tom and Huck,/sGO5Qa55p7wTu7FJcX4H4xIVKvS.jpg
 Action Adventure Thriller,9091,Sudden Death,/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg
 Adventure Action Thriller,710,GoldenEye,/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg
 Comedy Drama Romance,9087,The American President,/lymPNGLZgPHuqM29rKMGV46ANij.jpg
 Comedy Horror,12110,Dracula: Dead and Loving It,/xve4cgfYItnOhtzLYoTwTVy5FGr.jpg
 Family Animation Adventure,21032,Balto,/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg
 History Drama,10858,Nixon,/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg
 Action Adventure,1408,Cutthroat Island,/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg
 Drama Crime,524,Casino,/xo517ibXBDdYQY81j0WIG7BVcWq.jpg
 Drama Romance,4584,Sense and Sensibility,/lA9HTy84Bb6ZwNeyoZKobcMdpMc.jpg
 Crime Comedy,5,Four Rooms,/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg
 Crime Comedy Adventure,9273,Ace Ventura: When Nature Calls,/wRlGnJhEzcxBjvWtvbjhDSU1cIY.jpg
 Action Comedy Crime,11517,Money Train,/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg
 Comedy Thriller Crime,8012,Get Shorty,/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg
 Drama Thriller,1710,Copycat,/80czeJGSoik22fhtUM9WzyjUU4r.jpg
 Action Adventure Crime Thriller,9691,Assassins,/xAx5MP7Dg4y85pyS7atX6eWk4Qd.jpg
 Drama Fantasy Science Fiction Thriller,12665,Powder,/1uRKsxOCtgz0xVqs9l4hYtp4dFm.jpg
 Drama Romance,451,Leaving Las Vegas,/37qHRJxnSh5YkuaN9FgfNnMl3Tj.jpg
 Drama,16420,Othello,/qM0BXEQjmnAzlkDZ0tYmV6twqMX.jpg
 Comedy Drama Family,9263,Now and Then,/wD6rLdD2Ix3u9YLgE3Do8GyCHoz.jpg
 Drama Romance,17015,Persuasion,/si8911IezMvAnQFDvyg1nKzDlD.jpg
 Fantasy Science Fiction Adventure,902,La Cité des Enfants Perdus,/eVo6ewq4akfyJYy3GXkMsLNzEJc.jpg
 Drama Crime,37557,摇啊摇，摇到外婆桥,/qcoOCoN7viOhboGwhYXyApdDuiq.jpg
 Drama Crime,9909,Dangerous Minds,/y5Jee3QmYOlpqfaPPbfvtdVc5wj.jpg
 Science Fiction Thriller Mystery,63,Twelve Monkeys,/6Sj9wDu3YugthXsU0Vry5XFAZGg.jpg
 Romance Adventure,78802,"Guillaumet, les ailes du courage",/k6ODtR38dKEfuzSGjggr8KDyAF4.jpg
 Fantasy Drama Comedy Family,9598,Babe,/gN6X3fwPya8pLffk9OEWV3DqBnE.jpg
 History Drama Romance,47018,Carrington,/a7w6rPdTBgWAx6lnhwHemPx9pEw.jpg
 Drama,687,Dead Man Walking,/y19uRkAHXOHLeySuBVMqnvVnsrA.jpg
 Adventure History Drama Family,139405,Across the Sea of Time,/lKOAyy098yjoot8cutYsStVO1WS.jpg
 Comedy Family Romance,33689,It Takes Two,/l67WJL3Mjce1yoEgL4HheR5v75D.jpg
 Comedy Drama Romance,9603,Clueless,/i8gEHh2sszB6YWLC0jl559sxAeN.jpg
 Drama,34615,"Cry, the Beloved Country",/ymA7HQqRiyo1xrnFFv1ZrwNpwlb.jpg
 Drama War,31174,Richard III,/e8nuS9GQoSFaqld4hW5erk2ccag.jpg
 Action Crime Drama History,11443,Dead Presidents,/2dLyvXVvJXUR9otoqERkYpao1bB.jpg
 Drama Romance,35196,Restoration,/aqQdEQ1ZVdzrREJxCoPzTlLgHVw.jpg
 Action Fantasy,9312,Mortal Kombat,/bdXWixjWVA7Y03PvW74xufrROiJ.jpg
 Fantasy Drama Comedy Thriller,577,To Die For,/zCREx8trzejNieDLUsRuwLU0cS3.jpg
 Drama Romance,11861,How To Make An American Quilt,/wnWAZHbjX5Wj6hyb0gGmFdMADZk.jpg
 Crime Mystery Thriller,807,Se7en,/8zw8IL4zEPjkh8Aysdcd0FwGMb0.jpg
 Adventure Animation Drama Family,10530,Pocahontas,/qk95miOV8wDABbO5gyCpCrvbVFu.jpg
 Drama Romance,8391,When Night Is Falling,/wnUuYc9XnWrTTAGz8YjjULA3Zmr.jpg
 Drama Crime Thriller,629,The Usual Suspects,/jgJoRWltoS17nD5MAQ1yK2Ztefw.jpg
 Action Thriller Drama,117164,Guardian Angel,/hwbKoOSUuzuN2AQppnUxwwd4qOD.jpg
 Comedy Romance,11448,Mighty Aphrodite,/2NcPyb9vPehZ0aOjYayDAW1XeVy.jpg
 Drama Foreign,49133,Lamerica,/407nYlg60AOj95lqDZ4tvUTTm1k.jpg
 Action Adventure Comedy Family,26441,The Big Green,/erWfSEcjO4LG69Tlm2mED5JMSqH.jpg
 Drama,97406,Georgia,/5OTTRuKfiso75xofN8Vl5mRXOQP.jpg
,124057,Kids of the Round Table,/tL9ImxOccEshRlgmrKQabKH2tCd.jpg
 Comedy Drama Romance,9089,Home for the Holidays,/97EKLaslQ4gzkvALtqGCDOmsGHk.jpg
 Comedy Drama Romance,11010,Il postino,/qkq2JfINRQi4Iu9VTMMtQFfmGWZ.jpg
 Thriller Drama Mystery,99040,Le confessionnal,/8RCRrSAY8e3Qn5p9cNv188ogmZQ.jpg
 Adventure Family Fantasy,11359,The Indian in the Cupboard,/l16BtfILyWxYwSqzofL3V1rMSwe.jpg
 Drama Thriller,17182,Eye for an Eye,/y2lZSdJ1o0VvLegTw3ad6KFtxra.jpg
 Music Drama Family,2054,Mr. Holland's Opus,/jYEKdpVvRV3KdyHMUVYyg0KTVSY.jpg
 Comedy,10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,/l6D9f9WbxdI4tyCmJGs56y8tQla.jpg
 Comedy Romance,19760,Two If by Sea,/e0iwJJiLjk8Z6A9TuL3neX504H3.jpg
 Comedy,9536,Bio-Dome,/1bAUaipv3gDU1pATGwziyq1VTwZ.jpg
 Action Science Fiction,11525,Lawnmower Man 2: Beyond Cyberspace,/i0hBsWBLw64XRehFzCL44PaCs1y.jpg
 Drama Family,40628,Two Bits,/k4jOFtt7NqEtLnoI2Rs3BqKNHtI.jpg
 Comedy Romance,4482,Gazon maudit,/dDB8mMKRL28gHsRcGPoMQYrzaXg.jpg
 Comedy,10634,Friday,/kkoGT4bnK5oGiNbzGGcXzrXMSxn.jpg
 Horror Action Thriller Crime,755,From Dusk Till Dawn,/ce0d4kM5KxT4x1Oq8JkSuNYevri.jpg
 Action Thriller Romance,11859,Fair Game,/ew0LrIN5fpxdimrErEy9Yry3Nn2.jpg
 Comedy Drama Romance,28387,Kicking and Screaming,/urPxxjylNUHmoNcGkMgHStMTxhF.jpg
 Drama History,48750,Les misérables,/ePJCk8puXx28CtvpSpmezpwfVt8.jpg
 Drama Romance,20927,Bed of Roses,/kTEpzjzyeYER1WuCm7Seul4Fatc.jpg
 Comedy Family,36929,Big Bully,/wtFekK9VKWujQW9R9c6sYbir6wm.jpg
 Horror Science Fiction,9102,Screamers,/aFEs7D7IQ2IehTsniRIojDkiDl6.jpg
 Documentary,124626,Nico Icon,/tuIDKBp92R4tGFOB46MofvakfiY.jpg
 Drama Thriller,27526,The Crossing Guard,/mMXL84GqES2HYpJ0Zt18I7m6mfU.jpg
